,id,Description,Control,Time_min,PMID,target,sign,class,cell_line,treatment,UniprotID
188,HL60.AZD8055,,,,31959955,MTOR,-1,Serine/Threonine,HL60,AZD8055,P42345
189,HL60.BX912,,,,31959955,CHEK1,-1,Serine/Threonine,HL60,BX912,O14757
190,HL60.BX912,,,,31959955,CDK2,-1,Serine/Threonine,HL60,BX912,P24941
191,HL60.BX912,,,,31959955,GSK3B,-1,Serine/Threonine,HL60,BX912,P49841
192,HL60.BX912,,,,31959955,PDPK1,-1,Serine/Threonine,HL60,BX912,O15530
193,HL60.BX912,,,,31959955,KDR,-1,Tyrosine,HL60,BX912,P35968
194,HL60.Bosutinib,,,,31959955,SRC,-1,Tyrosine,HL60,Bosutinib,P12931
195,HL60.Bosutinib,,,,31959955,ABL1,-1,Tyrosine,HL60,Bosutinib,P00519
197,HL60.CHIR99021,,,,31959955,CDK1,-1,Serine/Threonine,HL60,CHIR99021,P06493
198,HL60.CHIR99021,,,,31959955,MAPK1,-1,Serine/Threonine,HL60,CHIR99021,P28482
199,HL60.CHIR99021,,,,31959955,GSK3A,-1,Serine/Threonine,HL60,CHIR99021,P49840
200,HL60.CHIR99021,,,,31959955,GSK3B,-1,Serine/Threonine,HL60,CHIR99021,P49841
201,HL60.CX4945,,,,31959955,CSNK2A1,-1,Serine/Threonine,HL60,CX4945,P68400
202,HL60.DNA_PK_IV,,,,31959955,PRKDC,-1,Serine/Threonine,HL60,DNA_PK_IV,P78527
203,HL60.Dabrafenib,,,,31959955,BRAF,-1,Serine/Threonine,HL60,Dabrafenib,P15056
204,HL60.Dasatinib,,,,31959955,FYN,-1,Tyrosine,HL60,Dasatinib,P06241
205,HL60.Dasatinib,,,,31959955,LCK,-1,Tyrosine,HL60,Dasatinib,P06239
206,HL60.Dasatinib,,,,31959955,SRC,-1,Tyrosine,HL60,Dasatinib,P12931
207,HL60.FRAX486,,,,31959955,PAK1,-1,Serine/Threonine,HL60,FRAX486,Q13153
208,HL60.FRAX486,,,,31959955,PAK2,-1,Serine/Threonine,HL60,FRAX486,Q13177
209,HL60.FRAX486,,,,31959955,PAK3,-1,Serine/Threonine,HL60,FRAX486,O75914
210,HL60.GDC0068,,,,31959955,AKT1,-1,Serine/Threonine,HL60,GDC0068,P31749
211,HL60.GDC0068,,,,31959955,AKT2,-1,Serine/Threonine,HL60,GDC0068,P31751
212,HL60.GDC0068,,,,31959955,AKT3,-1,Serine/Threonine,HL60,GDC0068,Q9Y243
213,HL60.GDC0941,,,,31959955,PIK3CG,-1,Serine/Threonine,HL60,GDC0941,P48736
214,HL60.GDC0994,,,,31959955,MAPK3,-1,Serine/Threonine,HL60,GDC0994,P27361
215,HL60.GDC0994,,,,31959955,MAPK1,-1,Serine/Threonine,HL60,GDC0994,P28482
216,HL60.GF109203X,,,,31959955,PRKCA,-1,Serine/Threonine,HL60,GF109203X,P17252
217,HL60.GF109203X,,,,31959955,PRKCB,-1,Serine/Threonine,HL60,GF109203X,P05771
218,HL60.GF109203X,,,,31959955,PRKCG,-1,Serine/Threonine,HL60,GF109203X,P05129
219,HL60.GSK2334470,,,,31959955,PDPK1,-1,Serine/Threonine,HL60,GSK2334470,O15530
220,HL60.GSK690693,,,,31959955,AKT3,-1,Serine/Threonine,HL60,GSK690693,Q9Y243
221,HL60.Go6976,,,,31959955,PRKCZ,-1,Serine/Threonine,HL60,Go6976,Q05513
222,HL60.Go6976,,,,31959955,PRKD1,-1,Serine/Threonine,HL60,Go6976,Q15139
223,HL60.Go6983,,,,31959955,PRKCA,-1,Serine/Threonine,HL60,Go6983,P17252
224,HL60.H89_2HCl,,,,31959955,PRKACA,-1,Serine/Threonine,HL60,H89_2HCl,P17612
225,HL60.HS173,,,,31959955,PIK3CG,-1,Serine/Threonine,HL60,HS173,P48736
226,HL60.JNJ38877605,,,,31959955,MET,-1,Tyrosine,HL60,JNJ38877605,P08581
227,HL60.JNKIN8,,,,31959955,MAPK8,-1,Serine/Threonine,HL60,JNKIN8,P45983
228,HL60.JNKIN8,,,,31959955,MAPK9,-1,Serine/Threonine,HL60,JNKIN8,P45984
229,HL60.JNKIN8,,,,31959955,MAPK10,-1,Serine/Threonine,HL60,JNKIN8,P53779
230,HL60.KD025,,,,31959955,ROCK2,-1,Serine/Threonine,HL60,KD025,O75116
231,HL60.KN62,,,,31959955,CAMK4,-1,Serine/Threonine,HL60,KN62,Q16566
232,HL60.KN93,,,,31959955,CAMK2B,-1,Serine/Threonine,HL60,KN93,Q13554
233,HL60.Ku0063794,,,,31959955,MTOR,-1,Serine/Threonine,HL60,Ku0063794,P42345
234,HL60.LEE011,,,,31959955,CDK4,-1,Serine/Threonine,HL60,LEE011,P11802
235,HL60.LEE011,,,,31959955,CDK6,-1,Serine/Threonine,HL60,LEE011,Q00534
236,HL60.LY2090314,,,,31959955,GSK3A,-1,Serine/Threonine,HL60,LY2090314,P49840
237,HL60.LY2090314,,,,31959955,GSK3B,-1,Serine/Threonine,HL60,LY2090314,P49841
238,HL60.LY2584702,,,,31959955,RPS6KB1,-1,Serine/Threonine,HL60,LY2584702,P23443
239,HL60.LY2835219,,,,31959955,CDK4,-1,Serine/Threonine,HL60,LY2835219,P11802
240,HL60.LY2835219,,,,31959955,CDK6,-1,Serine/Threonine,HL60,LY2835219,Q00534
241,HL60.MK2206,,,,31959955,AKT1,-1,Serine/Threonine,HL60,MK2206,P31749
242,HL60.MK2206,,,,31959955,AKT2,-1,Serine/Threonine,HL60,MK2206,P31751
243,HL60.MK2206,,,,31959955,AKT3,-1,Serine/Threonine,HL60,MK2206,Q9Y243
244,HL60.MP470,,,,31959955,PDGFRA,-1,Tyrosine,HL60,MP470,P16234
245,HL60.MP470,,,,31959955,KIT,-1,Tyrosine,HL60,MP470,P10721
246,HL60.NU7441,,,,31959955,PRKDC,-1,Serine/Threonine,HL60,NU7441,P78527
247,HL60.OSI906,,,,31959955,IGF1R,-1,Tyrosine,HL60,OSI906,P08069
248,HL60.PD153035,,,,31959955,EGFR,-1,Tyrosine,HL60,PD153035,P00533
249,HL60.PF3758309,,,,31959955,PAK4,-1,Serine/Threonine,HL60,PF3758309,O96013
250,HL60.PF4708671,,,,31959955,RPS6KB1,-1,Serine/Threonine,HL60,PF4708671,P23443
251,HL60.PH797804,,,,31959955,MAPK12,-1,Serine/Threonine,HL60,PH797804,P53778
253,HL60.Ripasudil,,,,31959955,ROCK1,-1,Serine/Threonine,HL60,Ripasudil,Q13464
254,HL60.SP600125,,,,31959955,TTK,-1,Dual-specificity,HL60,SP600125,P33981
255,HL60.SP600125,,,,31959955,MAPK8,-1,Serine/Threonine,HL60,SP600125,P45983
256,HL60.SP600125,,,,31959955,MAPK9,-1,Serine/Threonine,HL60,SP600125,P45984
257,HL60.SP600125,,,,31959955,MAPK10,-1,Serine/Threonine,HL60,SP600125,P53779
258,HL60.TAK715,,,,31959955,MAPK12,-1,Serine/Threonine,HL60,TAK715,P53778
259,HL60.TBCA,,,,31959955,CSNK2A1,-1,Serine/Threonine,HL60,TBCA,P68400
261,HL60.Tofacitinib,,,,31959955,JAK3,-1,Tyrosine,HL60,Tofacitinib,P52333
262,HL60.Torin1,,,,31959955,MTOR,-1,Serine/Threonine,HL60,Torin1,P42345
263,HL60.Trametinib,,,,31959955,MAP2K1,-1,Dual-specificity,HL60,Trametinib,Q02750
264,HL60.Ulixertinib,,,,31959955,MAPK3,-1,Serine/Threonine,HL60,Ulixertinib,P27361
265,HL60.Ulixertinib,,,,31959955,MAPK1,-1,Serine/Threonine,HL60,Ulixertinib,P28482
266,HL60.Vemurafenib,,,,31959955,BRAF,-1,Serine/Threonine,HL60,Vemurafenib,P15056
267,MCF7.AC220,,,,31959955,FLT3,-1,Tyrosine,MCF7,AC220,P36888
268,MCF7.AT13148,,,,31959955,ROCK1,-1,Serine/Threonine,MCF7,AT13148,Q13464
269,MCF7.AZ20,,,,31959955,ATR,-1,Serine/Threonine,MCF7,AZ20,Q13535
270,MCF7.AZD1480,,,,31959955,JAK2,-1,Tyrosine,MCF7,AZD1480,O60674
271,MCF7.AZD3759,,,,31959955,EGFR,-1,Tyrosine,MCF7,AZD3759,P00533
272,MCF7.AZD3759,,,,31959955,JAK1,-1,Tyrosine,MCF7,AZD3759,P23458
273,MCF7.AZD5363,,,,31959955,AKT1,-1,Serine/Threonine,MCF7,AZD5363,P31749
274,MCF7.AZD5363,,,,31959955,AKT3,-1,Serine/Threonine,MCF7,AZD5363,Q9Y243
275,MCF7.AZD5438,,,,31959955,CDK2,-1,Serine/Threonine,MCF7,AZD5438,P24941
276,MCF7.AZD6244,,,,31959955,MAP2K1,-1,Dual-specificity,MCF7,AZD6244,Q02750
277,MCF7.AZD6244,,,,31959955,MAP2K2,-1,Dual-specificity,MCF7,AZD6244,P36507
278,MCF7.AZD6244,,,,31959955,MAP3K1,-1,Serine/Threonine,MCF7,AZD6244,Q13233
280,MCF7.AZD6738,,,,31959955,ATR,-1,Serine/Threonine,MCF7,AZD6738,Q13535
281,MCF7.AZD8055,,,,31959955,MTOR,-1,Serine/Threonine,MCF7,AZD8055,P42345
282,MCF7.BX912,,,,31959955,CHEK1,-1,Serine/Threonine,MCF7,BX912,O14757
283,MCF7.BX912,,,,31959955,CDK2,-1,Serine/Threonine,MCF7,BX912,P24941
284,MCF7.BX912,,,,31959955,GSK3B,-1,Serine/Threonine,MCF7,BX912,P49841
285,MCF7.BX912,,,,31959955,PDPK1,-1,Serine/Threonine,MCF7,BX912,O15530
286,MCF7.BX912,,,,31959955,KDR,-1,Tyrosine,MCF7,BX912,P35968
287,MCF7.Bosutinib,,,,31959955,SRC,-1,Tyrosine,MCF7,Bosutinib,P12931
288,MCF7.Bosutinib,,,,31959955,ABL1,-1,Tyrosine,MCF7,Bosutinib,P00519
290,MCF7.CHIR99021,,,,31959955,CDK1,-1,Serine/Threonine,MCF7,CHIR99021,P06493
291,MCF7.CHIR99021,,,,31959955,MAPK1,-1,Serine/Threonine,MCF7,CHIR99021,P28482
292,MCF7.CHIR99021,,,,31959955,GSK3A,-1,Serine/Threonine,MCF7,CHIR99021,P49840
293,MCF7.CHIR99021,,,,31959955,GSK3B,-1,Serine/Threonine,MCF7,CHIR99021,P49841
294,MCF7.CX4945,,,,31959955,CSNK2A1,-1,Serine/Threonine,MCF7,CX4945,P68400
295,MCF7.DNA_PK_IV,,,,31959955,PRKDC,-1,Serine/Threonine,MCF7,DNA_PK_IV,P78527
296,MCF7.Dabrafenib,,,,31959955,BRAF,-1,Serine/Threonine,MCF7,Dabrafenib,P15056
297,MCF7.Dasatinib,,,,31959955,FYN,-1,Tyrosine,MCF7,Dasatinib,P06241
298,MCF7.Dasatinib,,,,31959955,LCK,-1,Tyrosine,MCF7,Dasatinib,P06239
299,MCF7.Dasatinib,,,,31959955,SRC,-1,Tyrosine,MCF7,Dasatinib,P12931
300,MCF7.FRAX486,,,,31959955,PAK1,-1,Serine/Threonine,MCF7,FRAX486,Q13153
301,MCF7.FRAX486,,,,31959955,PAK2,-1,Serine/Threonine,MCF7,FRAX486,Q13177
302,MCF7.FRAX486,,,,31959955,PAK3,-1,Serine/Threonine,MCF7,FRAX486,O75914
303,MCF7.GDC0068,,,,31959955,AKT1,-1,Serine/Threonine,MCF7,GDC0068,P31749
304,MCF7.GDC0068,,,,31959955,AKT2,-1,Serine/Threonine,MCF7,GDC0068,P31751
305,MCF7.GDC0068,,,,31959955,AKT3,-1,Serine/Threonine,MCF7,GDC0068,Q9Y243
306,MCF7.GDC0941,,,,31959955,PIK3CG,-1,Serine/Threonine,MCF7,GDC0941,P48736
307,MCF7.GDC0994,,,,31959955,MAPK3,-1,Serine/Threonine,MCF7,GDC0994,P27361
308,MCF7.GDC0994,,,,31959955,MAPK1,-1,Serine/Threonine,MCF7,GDC0994,P28482
309,MCF7.GF109203X,,,,31959955,PRKCA,-1,Serine/Threonine,MCF7,GF109203X,P17252
310,MCF7.GF109203X,,,,31959955,PRKCB,-1,Serine/Threonine,MCF7,GF109203X,P05771
311,MCF7.GF109203X,,,,31959955,PRKCG,-1,Serine/Threonine,MCF7,GF109203X,P05129
312,MCF7.GSK2334470,,,,31959955,PDPK1,-1,Serine/Threonine,MCF7,GSK2334470,O15530
313,MCF7.GSK690693,,,,31959955,AKT3,-1,Serine/Threonine,MCF7,GSK690693,Q9Y243
314,MCF7.Go6976,,,,31959955,PRKCZ,-1,Serine/Threonine,MCF7,Go6976,Q05513
315,MCF7.Go6976,,,,31959955,PRKD1,-1,Serine/Threonine,MCF7,Go6976,Q15139
316,MCF7.Go6983,,,,31959955,PRKCA,-1,Serine/Threonine,MCF7,Go6983,P17252
317,MCF7.H89_2HCl,,,,31959955,PRKACA,-1,Serine/Threonine,MCF7,H89_2HCl,P17612
318,MCF7.HS173,,,,31959955,PIK3CG,-1,Serine/Threonine,MCF7,HS173,P48736
319,MCF7.JNJ38877605,,,,31959955,MET,-1,Tyrosine,MCF7,JNJ38877605,P08581
320,MCF7.JNKIN8,,,,31959955,MAPK8,-1,Serine/Threonine,MCF7,JNKIN8,P45983
321,MCF7.JNKIN8,,,,31959955,MAPK9,-1,Serine/Threonine,MCF7,JNKIN8,P45984
322,MCF7.JNKIN8,,,,31959955,MAPK10,-1,Serine/Threonine,MCF7,JNKIN8,P53779
323,MCF7.KD025,,,,31959955,ROCK2,-1,Serine/Threonine,MCF7,KD025,O75116
324,MCF7.KN62,,,,31959955,CAMK4,-1,Serine/Threonine,MCF7,KN62,Q16566
325,MCF7.KN93,,,,31959955,CAMK2B,-1,Serine/Threonine,MCF7,KN93,Q13554
326,MCF7.Ku0063794,,,,31959955,MTOR,-1,Serine/Threonine,MCF7,Ku0063794,P42345
327,MCF7.LEE011,,,,31959955,CDK4,-1,Serine/Threonine,MCF7,LEE011,P11802
328,MCF7.LEE011,,,,31959955,CDK6,-1,Serine/Threonine,MCF7,LEE011,Q00534
329,MCF7.LY2090314,,,,31959955,GSK3A,-1,Serine/Threonine,MCF7,LY2090314,P49840
330,MCF7.LY2090314,,,,31959955,GSK3B,-1,Serine/Threonine,MCF7,LY2090314,P49841
331,MCF7.LY2584702,,,,31959955,RPS6KB1,-1,Serine/Threonine,MCF7,LY2584702,P23443
332,MCF7.LY2835219,,,,31959955,CDK4,-1,Serine/Threonine,MCF7,LY2835219,P11802
333,MCF7.LY2835219,,,,31959955,CDK6,-1,Serine/Threonine,MCF7,LY2835219,Q00534
334,MCF7.MK2206,,,,31959955,AKT1,-1,Serine/Threonine,MCF7,MK2206,P31749
335,MCF7.MK2206,,,,31959955,AKT2,-1,Serine/Threonine,MCF7,MK2206,P31751
336,MCF7.MK2206,,,,31959955,AKT3,-1,Serine/Threonine,MCF7,MK2206,Q9Y243
337,MCF7.MP470,,,,31959955,PDGFRA,-1,Tyrosine,MCF7,MP470,P16234
338,MCF7.MP470,,,,31959955,KIT,-1,Tyrosine,MCF7,MP470,P10721
339,MCF7.NU7441,,,,31959955,PRKDC,-1,Serine/Threonine,MCF7,NU7441,P78527
340,MCF7.OSI906,,,,31959955,IGF1R,-1,Tyrosine,MCF7,OSI906,P08069
341,MCF7.PD153035,,,,31959955,EGFR,-1,Tyrosine,MCF7,PD153035,P00533
342,MCF7.PF3758309,,,,31959955,PAK4,-1,Serine/Threonine,MCF7,PF3758309,O96013
343,MCF7.PF4708671,,,,31959955,RPS6KB1,-1,Serine/Threonine,MCF7,PF4708671,P23443
344,MCF7.PH797804,,,,31959955,MAPK12,-1,Serine/Threonine,MCF7,PH797804,P53778
346,MCF7.Ripasudil,,,,31959955,ROCK1,-1,Serine/Threonine,MCF7,Ripasudil,Q13464
347,MCF7.SP600125,,,,31959955,TTK,-1,Dual-specificity,MCF7,SP600125,P33981
348,MCF7.SP600125,,,,31959955,MAPK8,-1,Serine/Threonine,MCF7,SP600125,P45983
349,MCF7.SP600125,,,,31959955,MAPK9,-1,Serine/Threonine,MCF7,SP600125,P45984
350,MCF7.SP600125,,,,31959955,MAPK10,-1,Serine/Threonine,MCF7,SP600125,P53779
351,MCF7.TAK715,,,,31959955,MAPK12,-1,Serine/Threonine,MCF7,TAK715,P53778
352,MCF7.TBCA,,,,31959955,CSNK2A1,-1,Serine/Threonine,MCF7,TBCA,P68400
354,MCF7.Tofacitinib,,,,31959955,JAK3,-1,Tyrosine,MCF7,Tofacitinib,P52333
355,MCF7.Torin1,,,,31959955,MTOR,-1,Serine/Threonine,MCF7,Torin1,P42345
356,MCF7.Trametinib,,,,31959955,MAP2K1,-1,Dual-specificity,MCF7,Trametinib,Q02750
357,MCF7.Ulixertinib,,,,31959955,MAPK3,-1,Serine/Threonine,MCF7,Ulixertinib,P27361
358,MCF7.Ulixertinib,,,,31959955,MAPK1,-1,Serine/Threonine,MCF7,Ulixertinib,P28482
359,MCF7.Vemurafenib,,,,31959955,BRAF,-1,Serine/Threonine,MCF7,Vemurafenib,P15056
360,PMID_24362263,,,,24362263,ABL1,-1,Tyrosine,,Dasatinib,P00519
361,QSAV1,,,,17389395,EGFR,1,Tyrosine,,EGF,P00533
362,QSAV4,,,,17389395,EGFR,1,Tyrosine,,EGF,P00533
363,QSAV8,,,,17389395,EGFR,1,Tyrosine,,EGF,P00533
364,QSAV16,,,,17389395,EGFR,1,Tyrosine,,EGF,P00533
365,24H_EGF,,,,17016520,EGFR,1,Tyrosine,,EGF,P00533
366,24H_HRG,,,,17016520,EGFR,1,Tyrosine,,HRG,P00533
367,24H_HRG,,,,17016520,ERBB2,1,Tyrosine,,HRG,P04626
368,5sec,,,,25147952,LCK,1,Tyrosine,,TCRstimulation,P06239
369,5sec,,,,25147952,FYN,1,Tyrosine,,TCRstimulation,P06241
370,5sec,,,,25147952,ZAP70,1,Tyrosine,,TCRstimulation,P43403
371,5sec,,,,25147952,ITK,1,Tyrosine,,TCRstimulation,Q08881
372,15sec,,,,25147952,LCK,1,Tyrosine,,TCRstimulation,P06239
373,15sec,,,,25147952,FYN,1,Tyrosine,,TCRstimulation,P06241
374,15sec,,,,25147952,ZAP70,1,Tyrosine,,TCRstimulation,P43403
375,15sec,,,,25147952,ITK,1,Tyrosine,,TCRstimulation,Q08881
376,30sec,,,,25147952,LCK,1,Tyrosine,,TCRstimulation,P06239
377,30sec,,,,25147952,FYN,1,Tyrosine,,TCRstimulation,P06241
378,30sec,,,,25147952,ZAP70,1,Tyrosine,,TCRstimulation,P43403
379,30sec,,,,25147952,ITK,1,Tyrosine,,TCRstimulation,Q08881
380,60sec,,,,25147952,LCK,1,Tyrosine,,TCRstimulation,P06239
381,60sec,,,,25147952,FYN,1,Tyrosine,,TCRstimulation,P06241
382,60sec,,,,25147952,ZAP70,1,Tyrosine,,TCRstimulation,P43403
383,60sec,,,,25147952,ITK,1,Tyrosine,,TCRstimulation,Q08881
384,Log2_Imatinib,,,,24804581,CSK,-1,Tyrosine,,Imatinib,P41240
385,Log2_Imatinib,,,,24804581,SRC,-1,Tyrosine,,Imatinib,P12931
386,Log2_Imatinib,,,,24804581,DDR1,-1,Tyrosine,,Imatinib,Q08345
387,Log2_Dasatinib,,,,24804581,EPHA2,-1,Tyrosine,,Dasatinib,P29317
388,Log2_Dasatinib,,,,24804581,SRC,-1,Tyrosine,,Dasatinib,P12931
389,Log2_Dasatinib,,,,24804581,DDR1,-1,Tyrosine,,Dasatinib,Q08345
390,Log2_Dasatinib,,,,24804581,YES1,-1,Tyrosine,,Dasatinib,P07947
391,Log2_Dasatinib,,,,24804581,FRK,-1,Tyrosine,,Dasatinib,P42685
392,Log2_Bosutinib,,,,24804581,EPHA2,-1,Tyrosine,,Bosutinib,P29317
393,Log2_Bosutinib,,,,24804581,EPHB2,-1,Tyrosine,,Bosutinib,P29323
394,Log2_Bosutinib,,,,24804581,FRK,-1,Tyrosine,,Bosutinib,P42685
395,Log2_Bosutinib,,,,24804581,PTK2B,-1,Tyrosine,,Bosutinib,Q14289
396,Log2_Bosutinib,,,,24804581,LYN,-1,Tyrosine,,Bosutinib,P07948
397,Log2_Nilotinib,,,,24804581,DDR1,-1,Tyrosine,,Nilotinib,Q08345
398,Log2_Nilotinib,,,,24804581,EPHA2,-1,Tyrosine,,Nilotinib,P29317
399,Log2_Nilotinib,,,,24804581,CSK,-1,Tyrosine,,Nilotinib,P41240
400,Log2_Nilotinib,,,,24804581,SRC,-1,Tyrosine,,Nilotinib,P12931
401,Log2_Nilotinib,,,,24804581,PTK2B,-1,Tyrosine,,Nilotinib,Q14289
402,EGF_2min,,,,30257219,EGFR,1,Tyrosine,,EGF,P00533
403,EGF_4min,,,,30257219,EGFR,1,Tyrosine,,EGF,P00533
404,EGF_8min,,,,30257219,EGFR,1,Tyrosine,,EGF,P00533
